TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
216000000.0	736232.7	271644.9	2230604.2
217000000.0	736247.3	271646.1	2230781.6
218000000.0	736261.8	271647.3	2230957.4
219000000.0	736276.1	271648.4	2231131.5
220000000.0	736290.3	271649.6	2231304.2
221000000.0	736304.4	271650.8	2231475.3
222000000.0	736318.4	271651.9	2231644.8
223000000.0	736332.2	271653.0	2231812.9
224000000.0	736345.9	271654.1	2231979.5
225000000.0	736359.5	271655.3	2232144.7
226000000.0	736373.0	271656.4	2232308.4
227000000.0	736386.4	271657.4	2232470.7
228000000.0	736399.6	271658.5	2232631.6
229000000.0	736412.7	271659.6	2232791.1
230000000.0	736425.7	271660.7	2232949.2
231000000.0	736438.6	271661.7	2233106.0
232000000.0	736451.4	271662.8	2233261.5
233000000.0	736464.1	271663.8	2233415.7
234000000.0	736476.7	271664.8	2233568.5
235000000.0	736489.1	271665.8	2233720.1
236000000.0	736501.5	271666.8	2233870.4
237000000.0	736513.8	271667.8	2234019.5
238000000.0	736525.9	271668.8	2234167.3
239000000.0	736538.0	271669.8	2234314.0
240000000.0	736549.9	271670.8	2234459.4
241000000.0	736561.8	271671.8	2234603.6
242000000.0	736573.5	271672.7	2234746.7
243000000.0	736585.2	271673.7	2234888.6
244000000.0	736596.8	271674.6	2235029.3
245000000.0	736608.2	271675.6	2235169.0
246000000.0	736619.6	271676.5	2235307.5
247000000.0	736630.9	271677.4	2235444.9
248000000.0	736642.1	271678.3	2235581.2
249000000.0	736653.2	271679.2	2235716.4
250000000.0	736664.2	271680.1	2235850.6
251000000.0	736675.1	271681.0	2235983.7
252000000.0	736686.0	271681.9	2236115.8
253000000.0	736696.7	271682.8	2236246.8
254000000.0	736707.4	271683.6	2236376.8
255000000.0	736718.0	271684.5	2236505.9
256000000.0	736728.5	271685.4	2236633.9
257000000.0	736738.9	271686.2	2236760.9
258000000.0	736749.3	271687.1	2236887.0
259000000.0	736759.5	271687.9	2237012.1
260000000.0	736769.7	271688.7	2237136.3
261000000.0	736779.8	271689.6	2237259.5
262000000.0	736789.9	271690.4	2237381.9
263000000.0	736799.8	271691.2	2237503.2
264000000.0	736809.7	271692.0	2237623.7
265000000.0	736819.5	271692.8	2237743.3
266000000.0	736829.2	271693.6	2237862.0
267000000.0	736838.9	271694.4	2237979.8
268000000.0	736848.5	271695.2	2238096.8
269000000.0	736858.0	271695.9	2238212.9
270000000.0	736867.5	271696.7	2238328.2
271000000.0	736876.8	271697.5	2238442.6
272000000.0	736886.1	271698.2	2238556.2
273000000.0	736895.4	271699.0	2238668.9
274000000.0	736904.6	271699.7	2238780.9
275000000.0	736913.7	271700.5	2238892.0
276000000.0	736922.7	271701.2	2239002.4
277000000.0	736931.7	271701.9	2239111.9
278000000.0	736940.6	271702.7	2239220.7
279000000.0	736949.5	271703.4	2239328.8
280000000.0	736958.2	271704.1	2239436.0
281000000.0	736967.0	271704.8	2239542.5
282000000.0	736975.6	271705.5	2239648.3
283000000.0	736984.2	271706.2	2239753.3
284000000.0	736992.8	271706.9	2239857.6
285000000.0	737001.2	271707.6	2239961.2
286000000.0	737009.7	271708.3	2240064.1
287000000.0	737018.0	271709.0	2240166.2
288000000.0	737026.3	271709.7	2240267.7
289000000.0	737034.6	271710.3	2240368.4
290000000.0	737042.8	271711.0	2240468.5
291000000.0	737050.9	271711.7	2240567.9
292000000.0	737059.0	271712.3	2240666.6
293000000.0	737067.0	271713.0	2240764.7
294000000.0	737075.0	271713.6	2240862.1
295000000.0	737082.9	271714.3	2240958.8
296000000.0	737090.8	271714.9	2241054.9
297000000.0	737098.6	271715.6	2241150.4
298000000.0	737106.3	271716.2	2241245.2
299000000.0	737114.0	271716.8	2241339.4
300000000.0	737121.7	271717.4	2241433.0
301000000.0	737129.3	271718.1	2241526.0
302000000.0	737136.9	271718.7	2241618.4
303000000.0	737144.4	271719.3	2241710.1
304000000.0	737151.8	271719.9	2241801.3
305000000.0	737159.2	271720.5	2241891.9
306000000.0	737166.6	271721.1	2241981.8
307000000.0	737173.9	271721.7	2242071.3
308000000.0	737181.2	271722.3	2242160.1
309000000.0	737188.4	271722.9	2242248.4
310000000.0	737195.5	271723.5	2242336.1
311000000.0	737202.7	271724.0	2242423.2
312000000.0	737209.7	271724.6	2242509.8
313000000.0	737216.8	271725.2	2242595.9
314000000.0	737223.8	271725.8	2242681.4
315000000.0	737230.7	271726.3	2242766.4
316000000.0	737237.6	271726.9	2242850.8
317000000.0	737244.5	271727.4	2242934.7
318000000.0	737251.3	271728.0	2243018.1
319000000.0	737258.0	271728.6	2243101.0
320000000.0	737264.8	271729.1	2243183.4
321000000.0	737271.5	271729.6	2243265.2
322000000.0	737278.1	271730.2	2243346.6
323000000.0	737284.7	271730.7	2243427.4
324000000.0	737291.3	271731.3	2243507.8
325000000.0	737297.8	271731.8	2243587.7
326000000.0	737304.3	271732.3	2243667.1
327000000.0	737310.7	271732.9	2243746.0
328000000.0	737317.1	271733.4	2243824.4
329000000.0	737323.5	271733.9	2243902.4
330000000.0	737329.8	271734.4	2243979.9
331000000.0	737336.1	271734.9	2244056.9
332000000.0	737342.4	271735.4	2244133.5
333000000.0	737348.6	271735.9	2244209.6
334000000.0	737354.8	271736.4	2244285.3
335000000.0	737360.9	271736.9	2244360.5
336000000.0	737367.0	271737.4	2244435.3
337000000.0	737373.1	271737.9	2244509.7
338000000.0	737379.1	271738.4	2244583.6
339000000.0	737385.1	271738.9	2244657.1
340000000.0	737391.1	271739.4	2244730.1
341000000.0	737397.0	271739.9	2244802.7
342000000.0	737402.9	271740.4	2244875.0
343000000.0	737408.8	271740.8	2244946.7
344000000.0	737414.6	271741.3	2245018.1
345000000.0	737420.4	271741.8	2245089.1
346000000.0	737426.1	271742.3	2245159.7
347000000.0	737431.9	271742.7	2245229.8
348000000.0	737437.5	271743.2	2245299.6
349000000.0	737443.2	271743.6	2245368.9
350000000.0	737448.8	271744.1	2245437.9
351000000.0	737454.4	271744.6	2245506.5
352000000.0	737460.0	271745.0	2245574.7
353000000.0	737465.5	271745.5	2245642.5
354000000.0	737471.0	271745.9	2245710.0
355000000.0	737476.5	271746.4	2245777.0
356000000.0	737481.9	271746.8	2245843.7
357000000.0	737487.3	271747.2	2245910.0
358000000.0	737492.7	271747.7	2245976.0
359000000.0	737498.1	271748.1	2246041.6
360000000.0	737503.4	271748.6	2246106.8
361000000.0	737508.7	271749.0	2246171.7
362000000.0	737513.9	271749.4	2246236.2
363000000.0	737519.2	271749.8	2246300.4
364000000.0	737524.4	271750.3	2246364.2
365000000.0	737529.5	271750.7	2246427.7
366000000.0	737534.7	271751.1	2246490.8
367000000.0	737539.8	271751.5	2246553.6
368000000.0	737544.9	271751.9	2246616.0
369000000.0	737550.0	271752.3	2246678.2
370000000.0	737555.0	271752.8	2246739.9
371000000.0	737560.0	271753.2	2246801.4
372000000.0	737565.0	271753.6	2246862.5
373000000.0	737569.9	271754.0	2246923.3
374000000.0	737574.9	271754.4	2246983.8
375000000.0	737579.8	271754.8	2247044.0
376000000.0	737584.6	271755.2	2247103.8
377000000.0	737589.5	271755.6	2247163.3
378000000.0	737594.3	271756.0	2247222.6
379000000.0	737599.1	271756.4	2247281.5
380000000.0	737603.9	271756.7	2247340.1
381000000.0	737608.6	271757.1	2247398.4
382000000.0	737613.4	271757.5	2247456.4
383000000.0	737618.1	271757.9	2247514.1
384000000.0	737622.7	271758.3	2247571.5
385000000.0	737627.4	271758.7	2247628.6
386000000.0	737632.0	271759.0	2247685.4
387000000.0	737636.6	271759.4	2247741.9
388000000.0	737641.2	271759.8	2247798.1
389000000.0	737645.8	271760.1	2247854.1
390000000.0	737650.3	271760.5	2247909.7
391000000.0	737654.8	271760.9	2247965.1
392000000.0	737659.3	271761.3	2248020.2
393000000.0	737663.7	271761.6	2248075.0
394000000.0	737668.2	271762.0	2248129.6
395000000.0	737672.6	271762.3	2248183.9
396000000.0	737677.0	271762.7	2248237.9
397000000.0	737681.4	271763.1	2248291.6
398000000.0	737685.7	271763.4	2248345.1
399000000.0	737690.1	271763.8	2248398.3
400000000.0	737694.4	271764.1	2248451.2
401000000.0	737698.7	271764.5	2248503.9
402000000.0	737702.9	271764.8	2248556.3
403000000.0	737707.2	271765.2	2248608.4
404000000.0	737711.4	271765.5	2248660.3
405000000.0	737715.6	271765.8	2248712.0
406000000.0	737719.8	271766.2	2248763.4
407000000.0	737723.9	271766.5	2248814.5
408000000.0	737728.1	271766.9	2248865.4
409000000.0	737732.2	271767.2	2248916.1
410000000.0	737736.3	271767.5	2248966.5
411000000.0	737740.4	271767.9	2249016.6
412000000.0	737744.5	271768.2	2249066.6
413000000.0	737748.5	271768.5	2249116.2
414000000.0	737752.5	271768.8	2249165.7
415000000.0	737756.5	271769.2	2249214.9
416000000.0	737760.5	271769.5	2249263.9
417000000.0	737764.5	271769.8	2249312.6
418000000.0	737768.4	271770.1	2249361.1
419000000.0	737772.3	271770.5	2249409.4
420000000.0	737776.3	271770.8	2249457.4
421000000.0	737780.1	271771.1	2249505.3
422000000.0	737784.0	271771.4	2249552.9
423000000.0	737787.9	271771.7	2249600.3
424000000.0	737791.7	271772.0	2249647.4
425000000.0	737795.5	271772.3	2249694.3
426000000.0	737799.3	271772.7	2249741.1
427000000.0	737803.1	271773.0	2249787.6
428000000.0	737806.9	271773.3	2249833.9
429000000.0	737810.6	271773.6	2249879.9
430000000.0	737814.3	271773.9	2249925.8
431000000.0	737818.1	271774.2	2249971.4
432000000.0	737821.8	271774.5	2250016.9
433000000.0	737825.4	271774.8	2250062.1
434000000.0	737829.1	271775.1	2250107.1
435000000.0	737832.7	271775.4	2250152.0
436000000.0	737836.4	271775.7	2250196.6
437000000.0	737840.0	271776.0	2250241.0
438000000.0	737843.6	271776.3	2250285.2
439000000.0	737847.2	271776.6	2250329.2
440000000.0	737850.7	271776.8	2250373.0
441000000.0	737854.3	271777.1	2250416.6
442000000.0	737857.8	271777.4	2250460.1
443000000.0	737861.3	271777.7	2250503.3
444000000.0	737864.8	271778.0	2250546.3
445000000.0	737868.3	271778.3	2250589.2
446000000.0	737871.8	271778.6	2250631.8
447000000.0	737875.2	271778.8	2250674.3
448000000.0	737878.6	271779.1	2250716.6
449000000.0	737882.1	271779.4	2250758.6
450000000.0	737885.5	271779.7	2250800.6
451000000.0	737888.9	271779.9	2250842.3
452000000.0	737892.2	271780.2	2250883.8
453000000.0	737895.6	271780.5	2250925.2
454000000.0	737898.9	271780.8	2250966.3
455000000.0	737902.3	271781.0	2251007.3
456000000.0	737905.6	271781.3	2251048.1
457000000.0	737908.9	271781.6	2251088.8
458000000.0	737912.2	271781.8	2251129.2
459000000.0	737915.4	271782.1	2251169.5
460000000.0	737918.7	271782.4	2251209.6
461000000.0	737922.0	271782.6	2251249.6
462000000.0	737925.2	271782.9	2251289.4
463000000.0	737928.4	271783.2	2251329.0
464000000.0	737931.6	271783.4	2251368.4
465000000.0	737934.8	271783.7	2251407.7
466000000.0	737938.0	271783.9	2251446.7
467000000.0	737941.1	271784.2	2251485.7
468000000.0	737944.3	271784.5	2251524.4
469000000.0	737947.4	271784.7	2251563.0
470000000.0	737950.5	271785.0	2251601.5
471000000.0	737953.6	271785.2	2251639.8
472000000.0	737956.7	271785.5	2251677.9
473000000.0	737959.8	271785.7	2251715.8
474000000.0	737962.9	271786.0	2251753.6
475000000.0	737966.0	271786.2	2251791.3
476000000.0	737969.0	271786.5	2251828.7
477000000.0	737972.0	271786.7	2251866.1
478000000.0	737975.0	271787.0	2251903.2
479000000.0	737978.1	271787.2	2251940.2
480000000.0	737981.0	271787.5	2251977.1
481000000.0	737984.0	271787.7	2252013.8
482000000.0	737987.0	271787.9	2252050.4
483000000.0	737990.0	271788.2	2252086.8
484000000.0	737992.9	271788.4	2252123.1
485000000.0	737995.8	271788.7	2252159.2
486000000.0	737998.8	271788.9	2252195.1
487000000.0	738001.7	271789.1	2252231.0
488000000.0	738004.6	271789.4	2252266.6
489000000.0	738007.4	271789.6	2252302.2
490000000.0	738010.3	271789.8	2252337.5
491000000.0	738013.2	271790.1	2252372.8
492000000.0	738016.0	271790.3	2252407.9
493000000.0	738018.9	271790.5	2252442.8
494000000.0	738021.7	271790.8	2252477.6
495000000.0	738024.5	271791.0	2252512.3
496000000.0	738027.3	271791.2	2252546.9
497000000.0	738030.1	271791.4	2252581.3
498000000.0	738032.9	271791.7	2252615.5
499000000.0	738035.7	271791.9	2252649.7
500000000.0	738038.4	271792.1	2252683.7
501000000.0	738041.2	271792.3	2252717.5
502000000.0	738043.9	271792.6	2252751.2
503000000.0	738046.6	271792.8	2252784.8
504000000.0	738049.3	271793.0	2252818.3
505000000.0	738052.0	271793.2	2252851.6
506000000.0	738054.7	271793.5	2252884.8
507000000.0	738057.4	271793.7	2252917.9
508000000.0	738060.1	271793.9	2252950.8
509000000.0	738062.8	271794.1	2252983.6
510000000.0	738065.4	271794.3	2253016.3
511000000.0	738068.1	271794.5	2253048.8
512000000.0	738070.7	271794.8	2253081.3
513000000.0	738073.3	271795.0	2253113.6
514000000.0	738075.9	271795.2	2253145.8
515000000.0	738078.5	271795.4	2253177.8
516000000.0	738081.1	271795.6	2253209.7
517000000.0	738083.7	271795.8	2253241.5
518000000.0	738086.3	271796.0	2253273.2
519000000.0	738088.8	271796.2	2253304.8
