TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
228000000.0	69312.3	48533.4	127708.7
229000000.0	69313.0	48533.6	127712.4
230000000.0	69313.6	48533.9	127716.2
231000000.0	69314.2	48534.1	127719.9
232000000.0	69314.9	48534.3	127723.6
233000000.0	69315.5	48534.6	127727.2
234000000.0	69316.1	48534.8	127730.8
235000000.0	69316.7	48535.0	127734.4
236000000.0	69317.3	48535.3	127738.0
237000000.0	69318.0	48535.5	127741.5
238000000.0	69318.6	48535.7	127745.0
239000000.0	69319.1	48535.9	127748.5
240000000.0	69319.7	48536.1	127751.9
241000000.0	69320.3	48536.4	127755.3
242000000.0	69320.9	48536.6	127758.7
243000000.0	69321.5	48536.8	127762.0
244000000.0	69322.1	48537.0	127765.4
245000000.0	69322.6	48537.2	127768.7
246000000.0	69323.2	48537.4	127771.9
247000000.0	69323.7	48537.6	127775.2
248000000.0	69324.3	48537.8	127778.4
249000000.0	69324.8	48538.0	127781.6
250000000.0	69325.4	48538.2	127784.8
251000000.0	69325.9	48538.4	127787.9
252000000.0	69326.5	48538.6	127791.0
253000000.0	69327.0	48538.8	127794.1
254000000.0	69327.5	48539.0	127797.2
255000000.0	69328.0	48539.2	127800.3
256000000.0	69328.6	48539.4	127803.3
257000000.0	69329.1	48539.6	127806.3
258000000.0	69329.6	48539.8	127809.3
259000000.0	69330.1	48539.9	127812.2
260000000.0	69330.6	48540.1	127815.1
261000000.0	69331.1	48540.3	127818.1
262000000.0	69331.6	48540.5	127820.9
263000000.0	69332.1	48540.7	127823.8
264000000.0	69332.6	48540.9	127826.6
265000000.0	69333.1	48541.0	127829.5
266000000.0	69333.5	48541.2	127832.3
267000000.0	69334.0	48541.4	127835.1
268000000.0	69334.5	48541.6	127837.8
269000000.0	69335.0	48541.7	127840.6
270000000.0	69335.4	48541.9	127843.3
271000000.0	69335.9	48542.1	127846.0
272000000.0	69336.4	48542.2	127848.7
273000000.0	69336.8	48542.4	127851.3
274000000.0	69337.3	48542.6	127854.0
275000000.0	69337.7	48542.7	127856.6
276000000.0	69338.2	48542.9	127859.2
277000000.0	69338.6	48543.1	127861.8
278000000.0	69339.1	48543.2	127864.3
279000000.0	69339.5	48543.4	127866.9
280000000.0	69339.9	48543.6	127869.4
281000000.0	69340.4	48543.7	127871.9
282000000.0	69340.8	48543.9	127874.4
283000000.0	69341.2	48544.0	127876.9
284000000.0	69341.6	48544.2	127879.4
285000000.0	69342.0	48544.3	127881.8
286000000.0	69342.5	48544.5	127884.2
287000000.0	69342.9	48544.6	127886.6
288000000.0	69343.3	48544.8	127889.0
289000000.0	69343.7	48544.9	127891.4
290000000.0	69344.1	48545.1	127893.8
291000000.0	69344.5	48545.2	127896.1
292000000.0	69344.9	48545.4	127898.4
293000000.0	69345.3	48545.5	127900.7
294000000.0	69345.7	48545.7	127903.0
295000000.0	69346.1	48545.8	127905.3
296000000.0	69346.5	48546.0	127907.6
297000000.0	69346.9	48546.1	127909.8
298000000.0	69347.2	48546.2	127912.1
299000000.0	69347.6	48546.4	127914.3
300000000.0	69348.0	48546.5	127916.5
301000000.0	69348.4	48546.7	127918.7
302000000.0	69348.7	48546.8	127920.9
303000000.0	69349.1	48546.9	127923.0
304000000.0	69349.5	48547.1	127925.2
305000000.0	69349.9	48547.2	127927.3
306000000.0	69350.2	48547.3	127929.4
307000000.0	69350.6	48547.5	127931.5
308000000.0	69350.9	48547.6	127933.6
309000000.0	69351.3	48547.7	127935.7
310000000.0	69351.6	48547.9	127937.8
311000000.0	69352.0	48548.0	127939.8
312000000.0	69352.3	48548.1	127941.9
313000000.0	69352.7	48548.3	127943.9
314000000.0	69353.0	48548.4	127945.9
315000000.0	69353.4	48548.5	127947.9
316000000.0	69353.7	48548.6	127949.9
317000000.0	69354.1	48548.8	127951.9
318000000.0	69354.4	48548.9	127953.8
319000000.0	69354.7	48549.0	127955.8
320000000.0	69355.1	48549.1	127957.7
321000000.0	69355.4	48549.2	127959.6
322000000.0	69355.7	48549.4	127961.6
323000000.0	69356.1	48549.5	127963.5
324000000.0	69356.4	48549.6	127965.3
325000000.0	69356.7	48549.7	127967.2
326000000.0	69357.0	48549.8	127969.1
327000000.0	69357.3	48550.0	127971.0
328000000.0	69357.7	48550.1	127972.8
329000000.0	69358.0	48550.2	127974.6
330000000.0	69358.3	48550.3	127976.5
331000000.0	69358.6	48550.4	127978.3
332000000.0	69358.9	48550.5	127980.1
333000000.0	69359.2	48550.6	127981.9
334000000.0	69359.5	48550.8	127983.6
335000000.0	69359.8	48550.9	127985.4
336000000.0	69360.1	48551.0	127987.2
337000000.0	69360.4	48551.1	127988.9
338000000.0	69360.7	48551.2	127990.7
339000000.0	69361.0	48551.3	127992.4
340000000.0	69361.3	48551.4	127994.1
341000000.0	69361.6	48551.5	127995.8
342000000.0	69361.9	48551.6	127997.5
343000000.0	69362.2	48551.7	127999.2
344000000.0	69362.5	48551.8	128000.9
345000000.0	69362.8	48552.0	128002.6
346000000.0	69363.0	48552.1	128004.2
347000000.0	69363.3	48552.2	128005.9
348000000.0	69363.6	48552.3	128007.5
349000000.0	69363.9	48552.4	128009.1
350000000.0	69364.2	48552.5	128010.8
351000000.0	69364.4	48552.6	128012.4
352000000.0	69364.7	48552.7	128014.0
353000000.0	69365.0	48552.8	128015.6
354000000.0	69365.3	48552.9	128017.2
355000000.0	69365.5	48553.0	128018.7
356000000.0	69365.8	48553.1	128020.3
357000000.0	69366.1	48553.2	128021.9
358000000.0	69366.3	48553.3	128023.4
359000000.0	69366.6	48553.4	128025.0
360000000.0	69366.9	48553.5	128026.5
361000000.0	69367.1	48553.6	128028.0
362000000.0	69367.4	48553.7	128029.5
363000000.0	69367.6	48553.7	128031.0
364000000.0	69367.9	48553.8	128032.5
365000000.0	69368.1	48553.9	128034.0
366000000.0	69368.4	48554.0	128035.5
367000000.0	69368.7	48554.1	128037.0
368000000.0	69368.9	48554.2	128038.5
369000000.0	69369.2	48554.3	128039.9
370000000.0	69369.4	48554.4	128041.4
371000000.0	69369.6	48554.5	128042.8
372000000.0	69369.9	48554.6	128044.2
373000000.0	69370.1	48554.7	128045.7
374000000.0	69370.4	48554.8	128047.1
375000000.0	69370.6	48554.8	128048.5
376000000.0	69370.9	48554.9	128049.9
377000000.0	69371.1	48555.0	128051.3
378000000.0	69371.3	48555.1	128052.7
379000000.0	69371.6	48555.2	128054.1
380000000.0	69371.8	48555.3	128055.5
381000000.0	69372.1	48555.4	128056.8
382000000.0	69372.3	48555.5	128058.2
383000000.0	69372.5	48555.5	128059.6
384000000.0	69372.7	48555.6	128060.9
385000000.0	69373.0	48555.7	128062.2
386000000.0	69373.2	48555.8	128063.6
387000000.0	69373.4	48555.9	128064.9
388000000.0	69373.7	48556.0	128066.2
389000000.0	69373.9	48556.0	128067.5
390000000.0	69374.1	48556.1	128068.9
391000000.0	69374.3	48556.2	128070.2
392000000.0	69374.6	48556.3	128071.4
393000000.0	69374.8	48556.4	128072.7
394000000.0	69375.0	48556.5	128074.0
395000000.0	69375.2	48556.5	128075.3
396000000.0	69375.4	48556.6	128076.6
397000000.0	69375.6	48556.7	128077.8
398000000.0	69375.9	48556.8	128079.1
399000000.0	69376.1	48556.8	128080.3
400000000.0	69376.3	48556.9	128081.6
401000000.0	69376.5	48557.0	128082.8
402000000.0	69376.7	48557.1	128084.0
403000000.0	69376.9	48557.2	128085.3
404000000.0	69377.1	48557.2	128086.5
405000000.0	69377.3	48557.3	128087.7
406000000.0	69377.5	48557.4	128088.9
407000000.0	69377.7	48557.5	128090.1
408000000.0	69377.9	48557.5	128091.3
409000000.0	69378.2	48557.6	128092.5
410000000.0	69378.4	48557.7	128093.7
411000000.0	69378.6	48557.8	128094.8
412000000.0	69378.8	48557.8	128096.0
413000000.0	69379.0	48557.9	128097.2
414000000.0	69379.2	48558.0	128098.3
415000000.0	69379.4	48558.1	128099.5
416000000.0	69379.6	48558.1	128100.6
417000000.0	69379.7	48558.2	128101.8
418000000.0	69379.9	48558.3	128102.9
419000000.0	69380.1	48558.3	128104.1
420000000.0	69380.3	48558.4	128105.2
421000000.0	69380.5	48558.5	128106.3
422000000.0	69380.7	48558.6	128107.4
423000000.0	69380.9	48558.6	128108.5
424000000.0	69381.1	48558.7	128109.6
425000000.0	69381.3	48558.8	128110.7
426000000.0	69381.5	48558.8	128111.8
427000000.0	69381.7	48558.9	128112.9
428000000.0	69381.8	48559.0	128114.0
429000000.0	69382.0	48559.0	128115.1
430000000.0	69382.2	48559.1	128116.2
431000000.0	69382.4	48559.2	128117.3
432000000.0	69382.6	48559.2	128118.3
433000000.0	69382.8	48559.3	128119.4
434000000.0	69382.9	48559.4	128120.4
435000000.0	69383.1	48559.4	128121.5
436000000.0	69383.3	48559.5	128122.5
437000000.0	69383.5	48559.6	128123.6
438000000.0	69383.7	48559.6	128124.6
439000000.0	69383.8	48559.7	128125.6
